"","DATE","Block","Plot","Rotation","Quadrat","Wavelength","Reflectance","ID","2016-07-27_Incidence","2016-07-27_Severity","2016-08-05_Incidence","2016-08-05_Severity","2016-08-15_Incidence","2016-08-15_Severity","2016-08-22_Incidence","2016-08-22_Severity","2016-08-29_Incidence","2016-08-29_Severity","2016-09-06_Incidence","2016-09-06_Severity"
"1",2016-06-23,"1","12","S4",1201,460,7.15,"SDS_2016",0,0,0,0,0,0,0,0,50,30,70,50
"2",2016-06-23,"1","12","S4",1202,460,6.055,"SDS_2016",0,0,0,0,0,0,3.125,5,7.5,50,50,60
"3",2016-06-23,"1","12","S4",1203,460,5.895,"SDS_2016",0,0,0,0,0,0,0,0,1.875,5,15,10
"4",2016-06-23,"1","12","S4",1204,460,5.92,"SDS_2016",0,0,0,0,0,0,0,0,0,0,4,30
"5",2016-06-23,"1","12","S4",1205,460,6.1,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"6",2016-06-23,"1","12","S4",1206,460,6.255,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"7",2016-06-23,"1","12","S4",1207,460,5.63,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"8",2016-06-23,"1","12","S4",1208,460,5.63,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"9",2016-06-23,"1","12","S4",1209,460,5.755,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"10",2016-06-23,"1","12","S4",1210,460,5.475,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"11",2016-06-23,"1","12","S4",1211,460,4.87,"SDS_2016",0,0,0,0,0,0,0,0,3.125,20,5.625,30
"12",2016-06-23,"1","12","S4",1212,460,4.955,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"13",2016-06-23,"1","12","S4",1213,460,4.705,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"14",2016-06-23,"1","12","S4",1214,460,4.79,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"15",2016-06-23,"1","12","S4",1215,460,4.605,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"16",2016-06-23,"1","12","S4",1216,460,4.595,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0,0
"17",2016-06-23,"1","12","S4",1217,460,4.78,"SDS_2016",0,0,0,0,0,0,0,0,0,0,0.625,5
"18",2016-06-23,"1","12","S4",1218,460,4.58,"SDS_2016",0,0,0,0,0,0,0,0,10,40,20,45
"19",2016-06-23,"1","12","S4",1219,460,4.585,"SDS_2016",0,0,0,0,0,0,0,0,90,95,0.625,20
"20",2016-06-23,"1","12","S4",1220,460,4.445,"SDS_2016",0,0,0,0,1.25,15,5.625,20,20,40,65,60
"21",2016-06-23,"1","15","S3",1501,460,6.34,"SDS_2016",0,0,0,0,14.375,15,80,40,15,40,95,85
"22",2016-06-23,"1","15","S3",1502,460,6.3,"SDS_2016",0,0,0,0,1.875,10,25,30,15,40,65,50
"23",2016-06-23,"1","15","S3",1503,460,6.025,"SDS_2016",0,0,0,0,0.625,10,20,25,70,50,80,65
"24",2016-06-23,"1","15","S3",1504,460,5.875,"SDS_2016",0,0,0,0,0.625,5,15,20,15,25,65,70
"25",2016-06-23,"1","15","S3",1505,460,5.405,"SDS_2016",0,0,0,0,3.75,10,50,35,1.875,20,80,75
